Frame,pontos-1_x,pontos-1_y,11_x,11_y,21_x,21_y,48_x,48_y,50_x,50_y,1_x,1_y,9_x,9_y,pontos-2_x,pontos-2_y,153_x,153_y,143_x,143_y,116_x,116_y,114_x,114_y,163_x,163_y,155_x,155_y,pontos-3_x,pontos-3_y,77_x,77_y,80_x,80_y,84_x,84_y,87_x,87_y,
1143,1640.267,545.5603,1704.663,636.1609,3040.24,272.4556,1712.083,570.1619,1903.601,501.7198,1775.276,632.16,3039.945,311.3811,254.3892,531.925,-1126.905,265.3737,215.8761,634.5035,34.7212,499.581,222.7317,568.5653,-1163.88,295.149,139.4221,628.915,758.3688,565.8891,963.7272,635.5524,964.9908,570.2508,966.3624,499.3654,970.8597,266.942,
1144,1640.267,545.5603,1704.663,636.1609,3040.24,272.4556,1712.083,570.1619,1903.601,501.7198,1775.276,632.16,3039.945,311.3811,254.3892,531.925,-1126.905,265.3737,215.8761,634.5035,34.7212,499.581,222.7317,568.5653,-1163.88,295.149,139.4221,628.915,758.3688,565.8891,963.7272,635.5524,964.9908,570.2508,966.3624,499.3654,970.8597,266.942,
1145,1640.267,545.5603,1704.663,636.1609,3040.24,272.4556,1712.083,570.1619,1903.601,501.7198,1775.276,632.16,3039.945,311.3811,254.3892,531.925,-1126.905,265.3737,215.8761,634.5035,34.7212,499.581,222.7317,568.5653,-1163.88,295.149,139.4221,628.915,758.3688,565.8891,963.7272,635.5524,964.9908,570.2508,966.3624,499.3654,970.8597,266.942,
1146,1640.267,545.5603,1704.663,636.1609,3040.24,272.4556,1712.083,570.1619,1903.601,501.7198,1775.276,632.16,3039.945,311.3811,254.3892,531.925,-1126.905,265.3737,215.8761,634.5035,34.7212,499.581,222.7317,568.5653,-1163.88,295.149,139.4221,628.915,758.3688,565.8891,963.7272,635.5524,964.9908,570.2508,966.3624,499.3654,970.8597,266.942,
1147,1640.267,545.5603,1704.663,636.1609,3040.24,272.4556,1712.083,570.1619,1903.601,501.7198,1775.276,632.16,3039.945,311.3811,254.3892,531.925,-1126.905,265.3737,215.8761,634.5035,34.7212,499.581,222.7317,568.5653,-1163.88,295.149,139.4221,628.915,758.3688,565.8891,963.7272,635.5524,964.9908,570.2508,966.3624,499.3654,970.8597,266.942,
1148,1640.267,545.5603,1704.663,636.1609,3040.24,272.4556,1712.083,570.1619,1903.601,501.7198,1775.276,632.16,3039.945,311.3811,254.3892,531.925,-1126.905,265.3737,215.8761,634.5035,34.7212,499.581,222.7317,568.5653,-1163.88,295.149,139.4221,628.915,758.3688,565.8891,963.7272,635.5524,964.9908,570.2508,966.3624,499.3654,970.8597,266.942,
1149,1640.267,545.5603,1704.663,636.1609,3040.24,272.4556,1712.083,570.1619,1903.601,501.7198,1775.276,632.16,3039.945,311.3811,254.3892,531.925,-1126.905,265.3737,215.8761,634.5035,34.7212,499.581,222.7317,568.5653,-1163.88,295.149,139.4221,628.915,758.3688,565.8891,963.7272,635.5524,964.9908,570.2508,966.3624,499.3654,970.8597,266.942,
1150,1640.267,545.5603,1704.663,636.1609,3040.24,272.4556,1712.083,570.1619,1903.601,501.7198,1775.276,632.16,3039.945,311.3811,254.3892,531.925,-1126.905,265.3737,215.8761,634.5035,34.7212,499.581,222.7317,568.5653,-1163.88,295.149,139.4221,628.915,758.3688,565.8891,963.7272,635.5524,964.9908,570.2508,966.3624,499.3654,970.8597,266.942,
1151,1640.267,545.5603,1704.663,636.1609,3040.24,272.4556,1712.083,570.1619,1903.601,501.7198,1775.276,632.16,3039.945,311.3811,254.3892,531.925,-1126.905,265.3737,215.8761,634.5035,34.7212,499.581,222.7317,568.5653,-1163.88,295.149,139.4221,628.915,758.3688,565.8891,963.7272,635.5524,964.9908,570.2508,966.3624,499.3654,970.8597,266.942,
1152,1640.267,545.5603,1704.663,636.1609,3040.24,272.4556,1712.083,570.1619,1903.601,501.7198,1775.276,632.16,3039.945,311.3811,254.3892,531.925,-1126.905,265.3737,215.8761,634.5035,34.7212,499.581,222.7317,568.5653,-1163.88,295.149,139.4221,628.915,758.3688,565.8891,963.7272,635.5524,964.9908,570.2508,966.3624,499.3654,970.8597,266.942,
